"year","ZCTA","white","black","asian","other_race","two_or_more","total_pop","hispanic","not_hispanic","total_pop_eth","median_home_value","total_units","occupied_units","vacant_units","education_total","high_school_grad","bachelors_degree","masters_degree","professional_degree","doctorate_degree","median_income"
2000,"55103",13894,5650,204,15,606,14728,1319,13409,14728,82000,5324,5098,226,NA,NA,NA,NA,NA,NA,29066
2000,"55104",44151,28320,479,39,888,46133,1998,44135,46133,101500,18408,17696,712,NA,NA,NA,NA,NA,NA,38165
2000,"55404",25085,11856,2240,31,2192,27282,4251,23031,27282,89900,11703,11156,547,NA,NA,NA,NA,NA,NA,20703
2000,"55407",35501,19199,1422,35,4191,37879,7016,30863,37879,94700,14623,14004,619,NA,NA,NA,NA,NA,NA,37203
2000,"55411",29901,5972,502,39,926,31689,1621,30068,31689,78800,10011,9339,672,NA,NA,NA,NA,NA,NA,27907
2000,"55413",11597,9344,328,10,600,12082,1134,10948,12082,103400,5905,5632,273,NA,NA,NA,NA,NA,NA,34581
2000,"55418",29810,25661,563,21,843,30795,1641,29154,30795,109400,13993,13501,492,NA,NA,NA,NA,NA,NA,41584
2013,"55411",4775,13902,5293,6,1737,27640,2488,NA,27640,125600,10244,8750,1494,14242,3547,1046,1624,536,105,29355
2013,"55103",4722,4286,2870,0,577,13060,1271,NA,13060,153300,5197,4797,400,7442,1759,752,886,293,75,28899
2013,"55404",13415,9428,1331,20,946,28309,4183,NA,28309,191700,13642,12409,1233,17922,3395,885,3572,935,381,25346
2013,"55407",24813,6541,965,0,1548,37616,9116,NA,37616,180800,15216,14117,1099,24430,3631,1535,6201,2372,665,47433
2013,"55418",24138,2486,1107,33,886,30096,2833,NA,30096,189000,14014,13210,804,22052,3825,2114,5512,1693,640,55486
2013,"55413",9482,1407,499,0,489,12618,1535,NA,12618,195800,6775,6127,648,9436,1657,707,2464,774,254,45518
2013,"55104",27816,9319,4641,0,1313,44348,2576,NA,44348,195500,18190,17016,1174,26493,4674,1580,6494,2821,1057,44629
2023,"55103",5049,3922,2988,20,520,13892,1663,NA,13892,240400,5652,5245,407,8710,1717,842,1636,580,49,47872
2023,"55104",27826,8840,3159,2,3124,45777,3018,NA,45777,290900,20358,18588,1770,29547,3870,2315,8238,4556,1256,75038
2023,"55404",10930,9115,1076,1,1220,28071,5571,NA,28071,294200,14372,12679,1693,18170,2996,1177,4058,1473,277,43932
2023,"55407",19857,6805,687,8,1944,36992,8611,NA,36992,317000,15979,14781,1198,25591,2953,1957,7976,3409,621,78206
2023,"55411",7180,14786,2809,0,1935,29719,3171,NA,29719,233500,10967,10029,938,17095,3126,1919,2619,959,228,53368
2023,"55413",10285,1732,578,9,798,14328,915,NA,14328,354200,8080,7455,625,11695,1213,861,4658,1534,308,84252
2023,"55418",23957,3079,746,0,1653,31295,2482,NA,31295,332500,14859,13933,926,23369,3184,2027,7453,3412,562,95630
